floor1,floor1_2,floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
527,975,1584,2261,,,,,
543,994,1602,2299,,,,,
533,1010,1589,2291,,,,,
563,992,1563,2290,,,,,
610,1070,1616,2283,,,,,
550,1042,1590,2292,,,,,
565,1029,1551,2288,,,,,
553,1021,1583,2245,,,,,
551,1018,1581,2288,,,,,
545,1002,1591,2268,,,,,
535,984,1544,2281,,,,,
540,1045,1598,2295,,,,,
532,990,1599,2296,,,,,
585,1059,1605,2292,,,,,
540,1016,1574,2276,,,,,
614,1054,1597,2283,,,,,
560,1015,1600,2292,,,,,
556,1004,1583,2280,,,,,
508,967,1542,2283,,,,,
542,994,1560,2292,,,,,
546,1001,1568,2275,,,,,
534,987,1609,2290,,,,,
537,1001,1591,2284,,,,,
531,977,1585,2271,,,,,
565,1034,1629,2295,,,,,
577,1046,1628,2300,,,,,
508,955,1505,2232,,,,,
539,1030,1580,2232,,,,,
538,1024,1581,2298,,,,,
539,984,1581,2293,,,,,
632,1112,1655,2287,,,,,
560,1012,1561,2258,,,,,
565,1034,1620,2281,,,,,
542,1002,1626,2283,,,,,
573,1017,1583,2250,,,,,
563,998,1565,2297,,,,,
538,1001,1580,2272,,,,,
543,963,1558,2265,,,,,
543,1011,1588,2290,,,,,
537,1004,1568,2275,,,,,
566,1014,1585,2297,,,,,
542,1007,1555,2262,,,,,
561,1022,1566,2270,,,,,
521,993,1519,2238,,,,,
557,1008,1580,2262,,,,,
538,983,1595,2287,,,,,
512,1014,1588,2265,,,,,
568,1032,1642,2294,,,,,
544,1017,1561,2238,,,,,
551,1001,1517,2274,,,,,
556,1002,1635,2272,,,,,
552,1017,1602,2274,,,,,
565,1016,1576,2278,,,,,
554,1046,1598,2285,,,,,
592,1074,1656,2298,,,,,
542,982,1596,2233,,,,,
569,1051,1637,2299,,,,,
549,1025,1628,2295,,,,,
541,1036,1540,2257,,,,,
550,1028,1566,2293,,,,,
536,1000,1619,2298,,,,,
496,983,1557,2269,,,,,
493,960,1535,2227,,,,,
547,1013,1545,2282,,,,,
553,1026,1614,2296,,,,,
543,1014,1592,2299,,,,,
476,983,1560,2257,,,,,
572,1032,1563,2300,,,,,
532,975,1535,2272,,,,,
560,1027,1569,2261,,,,,
570,1067,1668,2295,,,,,
550,1009,1554,2211,,,,,
544,978,1588,2295,,,,,
549,994,1555,2282,,,,,
610,1051,1604,2296,,,,,
557,1041,1625,2299,,,,,
555,1047,1603,2280,,,,,
607,1071,1589,2291,,,,,
512,983,1545,2277,,,,,
512,983,1600,2292,,,,,
531,1021,1573,2270,,,,,
566,1021,1611,2293,,,,,
542,1018,1574,2291,,,,,
549,1023,1564,2266,,,,,
599,1044,1635,2287,,,,,
536,1028,1626,2258,,,,,
551,1020,1575,2287,,,,,
530,1023,1584,2296,,,,,
576,1017,1638,2295,,,,,
530,979,1621,2298,,,,,
528,988,1583,2290,,,,,
555,1049,1595,2297,,,,,
573,1030,1591,2293,,,,,
518,997,1582,2299,,,,,
536,987,1536,2293,,,,,
578,1067,1622,2294,,,,,
537,950,1519,2226,,,,,
544,1039,1575,2292,,,,,
554,1014,1585,2252,,,,,
532,1046,1590,2262,,,,,
569,1027,1584,2296,,,,,
533,1032,1568,2280,,,,,
553,1000,1582,2284,,,,,
542,1036,1605,2262,,,,,
508,957,1567,2284,,,,,
540,1003,1604,2296,,,,,
561,994,1581,2278,,,,,
612,1073,1605,2297,,,,,
524,1010,1593,2255,,,,,
543,1022,1624,2271,,,,,
537,1032,1588,2280,,,,,
535,996,1560,2280,,,,,
555,989,1606,2278,,,,,
541,1039,1577,2284,,,,,
534,1041,1604,2286,,,,,
544,977,1532,2259,,,,,
541,996,1605,2297,,,,,
538,1018,1586,2273,,,,,
559,1032,1612,2294,,,,,
592,1072,1636,2298,,,,,
570,1061,1625,2277,,,,,
538,1013,1604,2296,,,,,
539,996,1558,2261,,,,,
571,996,1575,2247,,,,,
537,999,1566,2268,,,,,
578,1027,1590,2297,,,,,
583,1035,1597,2289,,,,,
556,1040,1633,2265,,,,,
593,1063,1616,2248,,,,,
542,1050,1595,2267,,,,,
