floor1,prob_reach_floor1,prob_complete_after_floor1,floor1_2,prob_reach_floor1_2,prob_complete_after_floor1_2,floor1_2_3,prob_reach_floor1_2_3,prob_complete_after_floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
513,0.00662,0.115250265824372,999,0.02487,0.119176187557166,1611,0.05175,0.09602,2268,,,,,
535,0.05631,0.0589208016905911,993,0.01686,0.142294634451345,1564,0.00602,0.45301,2241,,,,,
521,0.0161,0.0916192212193727,984,0.00842,0.181956995921733,1544,0.00196,0.64544,2266,,,,,
511,0.00498,0.121750581887447,986,0.00988,0.172632021468607,1561,0.00496,0.49948,2296,,,,,
529,0.03456,0.0716468529242503,1011,0.05157,0.0808187488468186,1579,0.01312,0.30817,2276,,,,,
494,0.00031,0.186734057069351,929,0.00002,0.519285992838305,1528,0.0006,0.79821,2290,,,,,
535,0.05631,0.0589208016905911,1005,0.03643,0.0987078893913366,1590,0.02181,0.22131,2300,,,,,
519,0.01327,0.0971760516042577,978,0.00487,0.211630041054027,1559,0.00431,0.50272,2271,,,,,
521,0.0161,0.0916192212193727,999,0.02487,0.119176187557166,1577,0.01217,0.34986,2299,,,,,
528,0.03161,0.0739511142732888,986,0.00988,0.172632021468607,1618,0.06664,0.07304,2280,,,,,
531,0.04096,0.0671977840691001,965,0.00141,0.283967706262234,1577,0.01217,0.34986,2300,,,,,
533,0.04794,0.0629574035406007,1007,0.04063,0.0924632563358347,1616,0.06214,0.07412,2297,,,,,
532,0.04445,0.0650518092384121,986,0.00988,0.172632021468607,1567,0.00721,0.44869,2256,,,,,
512,0.00565,0.118470433927221,969,0.00217,0.260627845005088,1595,0.02733,0.18542,2257,,,,,
512,0.00565,0.118470433927221,963,0.00119,0.295960953147864,1537,0.00126,0.72583,2249,,,,,
527,0.02903,0.0763092778586665,973,0.00304,0.238219567955614,1574,0.01028,0.35407,2281,,,,,
518,0.01168,0.10004136818048,970,0.00238,0.25493537215016,1562,0.00526,0.49791,2284,,,,,
528,0.03161,0.0739511142732888,1013,0.05783,0.0754093928421774,1570,0.00839,0.40158,2298,,,,,
520,0.01473,0.0943687944150022,959,0.00075,0.320536354788298,1582,0.01517,0.30422,2274,,,,,
502,0.00129,0.153988668845031,974,0.00342,0.232771926407453,1588,0.01988,0.25758,2275,,,,,
500,0.00092,0.161817153702534,992,0.01566,0.146407280295055,1557,0.00387,0.54722,2244,,,,,
519,0.01327,0.0971760516042577,974,0.00342,0.232771926407453,1544,0.00196,0.64544,2271,,,,,
531,0.04096,0.0671977840691001,1014,0.06089,0.0728056174696529,1587,0.01894,0.25879,2264,,,,,
521,0.0161,0.0916192212193727,1008,0.04292,0.0894473610214943,1517,0.0002,0.85809,2214,,,,,
520,0.01473,0.0943687944150022,1002,0.03048,0.108613965165864,1578,0.01261,0.34839,2280,,,,,
516,0.00914,0.105947560544889,1011,0.05157,0.0808187488468186,1593,0.0249,0.21777,2296,,,,,
513,0.00662,0.115250265824372,969,0.00217,0.260627845005088,1544,0.00196,0.64544,2241,,,,,
515,0.00819,0.10898906461665,986,0.00988,0.172632021468607,1599,0.03245,0.15219,2281,,,,,
516,0.00914,0.105947560544889,1015,0.06456,0.0702681444955853,1592,0.0238,0.21899,2288,,,,,
512,0.00565,0.118470433927221,934,0.00005,0.485522901929077,1531,0.00075,0.76548,2208,,,,,
535,0.05631,0.0589208016905911,987,0.01072,0.168078041112085,1538,0.00134,0.72452,2263,,,,,
528,0.03161,0.0739511142732888,997,0.02202,0.12658592461451,1615,0.05993,0.07469,2292,,,,,
530,0.0376,0.0693959347613141,1001,0.02824,0.112061372533792,1615,0.05993,0.07469,2297,,,,,
529,0.03456,0.0716468529242503,1011,0.05157,0.0808187488468186,1590,0.02181,0.22131,2287,,,,,
525,0.02404,0.0811894600154765,975,0.00379,0.227388189892184,1543,0.00177,0.68419,2240,,,,,
511,0.00498,0.121750581887447,969,0.00217,0.260627845005088,1568,0.00757,0.44727,2270,,,,,
533,0.04794,0.0629574035406007,993,0.01686,0.142294634451345,1556,0.00369,0.54886,2198,,,,,
525,0.02404,0.0811894600154765,969,0.00217,0.260627845005088,1585,0.01732,0.26134,2252,,,,,
514,0.00742,0.112089883360774,974,0.00342,0.232771926407453,1568,0.00757,0.44727,2300,,,,,
529,0.03456,0.0716468529242503,981,0.00644,0.196479641188204,1547,0.00227,0.64148,2289,,,,,
534,0.05189,0.0609139459038858,1001,0.02824,0.112061372533792,1583,0.01589,0.30283,2280,,,,,
528,0.03161,0.0739511142732888,1007,0.04063,0.0924632563358347,1589,0.02083,0.22261,2296,,,,,
513,0.00662,0.115250265824372,980,0.00587,0.201460931052631,1525,0.00047,0.80163,2182,,,,,
519,0.01327,0.0971760516042577,984,0.00842,0.181956995921733,1532,0.00082,0.76421,2239,,,,,
525,0.02404,0.0811894600154765,985,0.00907,0.177258487449708,1565,0.00638,0.45153,2282,,,,,
523,0.01974,0.0862915094774789,982,0.00715,0.19156813642142,1549,0.00249,0.59962,2261,,,,,
504,0.00168,0.146401305689581,990,0.01341,0.154854653976002,1573,0.00987,0.39689,2285,,,,,
534,0.05189,0.0609139459038858,1002,0.03048,0.108613965165864,1573,0.00987,0.39689,2295,,,,,
518,0.01168,0.10004136818048,972,0.00288,0.243730083452166,1536,0.00117,0.72714,2212,,,,,
524,0.02183,0.083712506483631,1010,0.04873,0.0836257027438171,1590,0.02181,0.22131,2282,,,,,
513,0.00662,0.115250265824372,979,0.00536,0.206511311307996,1494,0.00001,0.93819,2276,,,,,
489,0.00015,0.209100735110532,942,0.00012,0.431464922219469,1551,0.00281,0.5966,2258,,,,,
515,0.00819,0.10898906461665,997,0.02202,0.12658592461451,1576,0.01156,0.35135,2258,,,,,
