time,probability
2275,0.006162628269119526
2276,0.006441574670587653
2277,0.006731382836100178
2278,0.00703239184674473
2279,0.0073449477459104065
2280,0.007669403536825644
2281,0.00800611917350404
2282,0.008355461544900225
2283,0.008717804452081392
2284,0.009093528578224083
2285,0.009483021451250202
2286,0.009886677398921009
2287,0.01030489749621313
2288,0.010738089504806227
2289,0.011186667804518147
2290,0.011651053316529804
2291,0.012131673418249082
2292,0.012628961849670417
2293,0.013143358611094487
2294,0.013675309852080724
2295,0.014225267751513998
2296,0.014793690388675855
2297,0.015381041605220197
2298,0.015987790857963126
2299,0.016614413062406942
2300,0.017261388426928904
2301,0.017929202277576325
2302,0.018618344873421015
2303,0.01932931121243766
2304,0.020062600827882852
2305,0.020818717575163757
2306,0.021598169409198058
2307,0.02240146815227978
2308,0.023229129252478716
2309,0.02408167153261466
2310,0.024959616929861282
2311,0.025863490226048384
2312,0.02679381876874531
2313,0.027751132183222522
2314,0.028735962075402695
2315,0.029748841725927233
2316,0.03079030577547862
2317,0.03186088990151374
2318,0.032961130486578
2319,0.03409156427838478
2320,0.03525272804185957
2321,0.03644515820336266
2322,0.03766939048731917
2323,0.03892595954549952
2324,0.04021539857920805
2325,0.04153823895465176
2326,0.04289500981177528
2327,0.044286237666862224
2328,0.045712446009216756
2329,0.04717415489225268
2330,0.04867188051933067
2331,0.05020613482469711
2332,0.05177742504989056
2333,0.05338625331599433
2334,0.05503311619212518
2335,0.05671850426055983
2336,0.05844290167891186
2337,0.060206785739782255
2338,0.06201062642831671
2339,0.0638548859781127
2340,0.06574001842592797
2341,0.06766646916565064
2342,0.0696346745019994
2343,0.07164506120442904
2344,0.07369804606172368
2345,0.07579403543776572
2346,0.07793342482897404
2347,0.08011659842391003
2348,0.08234392866555362
2349,0.08461577581675507
2350,0.0869324875293707
2351,0.0892943984175927
2352,0.09170182963598439
2353,0.0941550884627328
2354,0.09665446788862982
2355,0.09920024621229226
2356,0.10179268664212865
2357,0.10443203690555906
2358,0.10711852886599031
2359,0.10985237814804438
2360,0.11263378377153312
2361,0.11546292779466592
2362,0.11833997496697223
2363,0.1212650723924118
2364,0.12423834920313906
2365,0.12725991624437638
2366,0.1303298657708444
2367,0.13344827115518587
2368,0.13661518660881
2369,0.13983064691557034
2370,0.14309466717867775
2371,0.14640724258123616
2372,0.149768348160778
2373,0.15317793859815904
2374,0.15663594802115896
2375,0.160142289823115
2376,0.16369685649690294
2377,0.16729951948456384
2378,0.17095012904285886
2379,0.17464851412500917
2380,0.17839448227886623
2381,0.1821878195617368
2382,0.18602829047207173
2383,0.1899156378982044
2384,0.19384958308430375
2385,0.1978298256136882
2386,0.20185604340962826
2387,0.20592789275374054
2388,0.21004500832206524
2389,0.21420700323888253
2390,0.21841346914831009
2391,0.22266397630370946
2392,0.22695807367488716
2393,0.23129528907308813
2394,0.23567512929372617
2395,0.2400970802767776
2396,0.2445606072847606
2397,0.24906515509818578
2398,0.25361014822837497
2399,0.2581949911474662
2400,0.26281906853542075
2401,0.26748174554387805
2402,0.27218236807662255
2403,0.2769202630864649
2404,0.2816947388882139
2405,0.2865050854875054
2406,0.2913505749252175
2407,0.29623046163712324
2408,0.3011439828285106
2409,0.30609035886333646
2410,0.31106879366757034
2411,0.3160784751464329
2412,0.321118575615012
2413,0.32618825224194115
2414,0.3312866475057263
2415,0.3364128896630337
2416,0.34156609322883374
2417,0.3467453594675983
2418,0.3519497768955877
2419,0.3571784217931081
2420,0.3624303587263385
2421,0.36770464107833917
2422,0.3730003115897572
2423,0.3783164029066854
2424,0.38365193813622916
2425,0.38900593140923584
2426,0.3943773884496384
2427,0.3997653071497346
2428,0.405168678150904
2429,0.41058648542801834
2430,0.4160177068810144
2431,0.42146131492735284
2432,0.4269162770975622
2433,0.43238155663301436
2434,0.4378561130909878
2435,0.4433389029436739
2436,0.44882888018101197
2437,0.4543249969113034
2438,0.45982620397023355
2439,0.4653314515200762
2440,0.47083968964694056
2441,0.47634986895644793
2442,0.48186094117632033
2443,0.4873718597473771
2444,0.4928815804064684
2445,0.4983890617737503
2446,0.5038932659308548
2447,0.5093931589970421
2448,0.5148877116913559
2449,0.5203758998972363
2450,0.5258567052204612
2451,0.5313291155337296
2452,0.5367921255134522
2453,0.5422447371740869
2454,0.5476859603956328
2455,0.553114813431914
2456,0.5585303234103641
2457,0.5639315268297217
2458,0.5693174700529687
2459,0.5746872097681028
2460,0.5800398134585301
2461,0.58537435984213
2462,0.5906899393220838
2463,0.5959856544008999
2464,0.6012606201179258
2465,0.6065139644424232
2466,0.6117448286453725
2467,0.6169523676774592
2468,0.6221357505606094
2469,0.6272941607260434
2470,0.6324267963496762
2471,0.6375328706396048
2472,0.6426116121873515
2473,0.6476622652625225
2474,0.6526840900722822
2475,0.657676363069147
2476,0.6626383771148889
2477,0.6675694417837686
2478,0.6724688835627569
2479,0.677336046076932
2480,0.6821702903053416
2481,0.6869709946888393
2482,0.6917375552872366
2483,0.6964693859948202
2484,0.7011659186790895
2485,0.7058266033483025
2486,0.7104509080478547
2487,0.7150383190818171
2488,0.71958834112917
2489,0.7241004973399999
2490,0.7285743290196695
2491,0.7330093964750787
2492,0.7374052781721309
2493,0.7417615712477447
2494,0.7460778912544362
2495,0.7503538720811028
2496,0.7545891665160326
2497,0.7587834455113308
2498,0.7629363983438465
2499,0.7670477325698367
2500,0.7711171741994053
2501,0.775144467168311
2502,0.7791293732526088
2503,0.78307167219987
2504,0.786971161669069
2505,0.7908276569036473
2506,0.7946409908312235
2507,0.7984110132236846
2508,0.8021375914405655
2509,0.8058206098197558
2510,0.8094599694165361
2511,0.8130555879317217
2512,0.8166073993074559
2513,0.8201153539574217
2514,0.8235794180333791
2515,0.8269995737811872
2516,0.8303758189486763
2517,0.8337081660707715
2518,0.8369966428658268
2519,0.8402412918014461
2520,0.8434421669704726
2521,0.8465993434594113
2522,0.8497129059302735
2523,0.8527829528444895
2524,0.8558095973904456
2525,0.8587929615022607
2526,0.8617331880009633
2527,0.8646304273228617
2528,0.8674848430783053
2529,0.8702966099116671
2530,0.8730659088287042
2531,0.8757929455826949
2532,0.8784779291980994
2533,0.8811210799436012
2534,0.8837226283304965
2535,0.8862828012500032
