floor1,prob_reach_floor1,prob_complete_after_floor1,floor1_2,prob_reach_floor1_2,prob_complete_after_floor1_2,floor1_2_3,prob_reach_floor1_2_3,prob_complete_after_floor1_2_3,total
517,0.010187,0.10296509556568055,969,0.002092,0.2606278450050883,1545,0.001831,0.64414,2256
534,0.052241,0.0609139459038858,1011,0.051058,0.08081874884681862,1595,0.026909,0.18542,2288
511,0.004881,0.12175058188744681,973,0.003098,0.23821956795561378,1614,0.057732,0.07535,2286
512,0.005586,0.1184704339272214,997,0.02129,0.12658592461451013,1558,0.004082,0.54556,2220
533,0.048258,0.06295740354060068,975,0.00369,0.22738818989218357,1564,0.005697,0.45301,2296
532,0.044502,0.06505180923841214,993,0.015952,0.14229463445134527,1566,0.006415,0.4501,2253
523,0.019568,0.08629150947747893,982,0.00671,0.19156813642141995,1523,0.000381,0.82997,2205
507,0.002863,0.13547385676804075,996,0.019844,0.1304018254689262,1535,0.000895,0.72837,2230
512,0.005586,0.1184704339272214,1011,0.051058,0.08081874884681862,1583,0.015542,0.30283,2265
509,0.00377,0.1284914524482879,965,0.001382,0.28396770626223383,1597,0.029314,0.18339,2295
520,0.014267,0.09436879441500223,979,0.005218,0.20651131130799644,1593,0.0246,0.21777,2275
533,0.048258,0.06295740354060068,979,0.005218,0.20651131130799644,1618,0.066798,0.07304,2290
533,0.048258,0.06295740354060068,1001,0.027857,0.11206137253379161,1592,0.023531,0.21899,2289
528,0.031587,0.07395111427328879,996,0.019844,0.1304018254689262,1575,0.010438,0.35256,2292
535,0.056514,0.0589208016905911,985,0.008669,0.17725848744970762,1548,0.002223,0.63986,2295
502,0.001373,0.15398866884503148,1005,0.03579,0.09870788939133658,1598,0.030566,0.18239,2300
508,0.003275,0.1319524201119132,935,4.4e-05,0.47875459718242586,1529,0.000576,0.76786,2246
504,0.001879,0.1464013056895814,981,0.006171,0.19647964118820407,1591,0.022435,0.22018,2288
523,0.019568,0.08629150947747893,995,0.018428,0.13429188775212894,1552,0.002885,0.5952,2239
523,0.019568,0.08629150947747893,1008,0.042959,0.08944736102149425,1596,0.028082,0.18432,2293
515,0.008088,0.10898906461665049,973,0.003098,0.23821956795561378,1554,0.00322,0.55197,2241
496,0.00049,0.1781919045355587,957,0.000615,0.3330936531441198,1535,0.000895,0.72837,2272
518,0.011439,0.10004136818048001,998,0.02282,0.12284409201506367,1606,0.042451,0.12152,2278
531,0.041003,0.06719778406910008,1013,0.05705,0.07540939284217735,1581,0.014124,0.30552,2298
527,0.028861,0.07630927785866647,976,0.004013,0.22206934473661805,1578,0.012181,0.34839,2300
513,0.006334,0.11525026582437176,999,0.024403,0.11917618755716608,1614,0.057732,0.07535,2282
513,0.006334,0.11525026582437176,993,0.015952,0.14229463445134527,1558,0.004082,0.54556,2227
520,0.014267,0.09436879441500223,971,0.002533,0.2493023934405924,1581,0.014124,0.30552,2258
534,0.052241,0.0609139459038858,999,0.024403,0.11917618755716608,1570,0.008002,0.40158,2297
523,0.019568,0.08629150947747893,1006,0.038133,0.09554993085534054,1549,0.002376,0.59962,2276
532,0.044502,0.06505180923841214,1002,0.029719,0.10861396516586448,1589,0.020539,0.22261,2296
518,0.011439,0.10004136818048001,1003,0.031643,0.1052394915244936,1585,0.01703,0.26134,2247
523,0.019568,0.08629150947747893,998,0.02282,0.12284409201506367,1551,0.002709,0.5966,2278
521,0.015881,0.09161922121937276,999,0.024403,0.11917618755716608,1601,0.034595,0.15017,2273
526,0.026259,0.07872188529824783,1009,0.045482,0.08650170261383684,1598,0.030566,0.18239,2280
528,0.031587,0.07395111427328879,975,0.00369,0.22738818989218357,1557,0.00386,0.54722,2294
528,0.031587,0.07395111427328879,1006,0.038133,0.09554993085534054,1604,0.039127,0.12314,2277
506,0.002501,0.13905581029067357,972,0.002811,0.2437300834521658,1592,0.023531,0.21899,2264
513,0.006334,0.11525026582437176,973,0.003098,0.23821956795561378,1564,0.005697,0.45301,2296
504,0.001879,0.1464013056895814,945,0.000163,0.41135248284901643,1593,0.0246,0.21777,2300
525,0.02388,0.0811894600154765,987,0.010134,0.16807804111208538,1589,0.020539,0.22261,2296
512,0.005586,0.1184704339272214,1003,0.031643,0.1052394915244936,1577,0.011537,0.34986,2274
527,0.028861,0.07630927785866647,990,0.012741,0.1548546539760021,1555,0.00341,0.55038,2268
527,0.028861,0.07630927785866647,1002,0.029719,0.10861396516586448,1595,0.026909,0.18542,2262
530,0.037632,0.06939593476131409,995,0.018428,0.13429188775212894,1535,0.000895,0.72837,2277
534,0.052241,0.0609139459038858,990,0.012741,0.1548546539760021,1569,0.007588,0.40304,2286
522,0.017592,0.08892693333344363,978,0.004839,0.21163004105402708,1575,0.010438,0.35256,2272
492,0.000231,0.1955090947935819,949,0.000264,0.3848066872939196,1566,0.006415,0.4501,2293
528,0.031587,0.07395111427328879,1010,0.048204,0.08362570274381714,1558,0.004082,0.54556,2265
500,0.000991,0.16181715370253355,987,0.010134,0.16807804111208538,1560,0.004523,0.50116,2292
520,0.014267,0.09436879441500223,1006,0.038133,0.09554993085534054,1609,0.04783,0.09745,2286
502,0.001373,0.15398866884503148,998,0.02282,0.12284409201506367,1571,0.008412,0.40015,2274
511,0.004881,0.12175058188744681,1013,0.05705,0.07540939284217735,1583,0.015542,0.30283,2290
530,0.037632,0.06939593476131409,1013,0.05705,0.07540939284217735,1559,0.004308,0.50272,2286
535,0.056514,0.0589208016905911,1010,0.048204,0.08362570274381714,1544,0.00172,0.64544,2246
533,0.048258,0.06295740354060068,999,0.024403,0.11917618755716608,1529,0.000576,0.76786,2286
524,0.02167,0.08371250648363103,991,0.013703,0.15059400098504225,1597,0.029314,0.18339,2279
535,0.056514,0.0589208016905911,982,0.00671,0.19156813642141995,1534,0.000821,0.72949,2286
526,0.026259,0.07872188529824783,1009,0.045482,0.08650170261383684,1570,0.008002,0.40158,2267
501,0.001176,0.157872837837039,959,0.000756,0.3205363547882977,1563,0.005377,0.49641,2260
497,0.000587,0.17400907450419242,984,0.007966,0.1819569959217331,1604,0.039127,0.12314,2300
511,0.004881,0.12175058188744681,981,0.006171,0.19647964118820407,1563,0.005377,0.49641,2300
527,0.028861,0.07630927785866647,1000,0.026039,0.11558202443498841,1598,0.030566,0.18239,2295
526,0.026259,0.07872188529824783,1013,0.05705,0.07540939284217735,1578,0.012181,0.34839,2275
532,0.044502,0.06505180923841214,1007,0.040545,0.09246325633583473,1597,0.029314,0.18339,2289
520,0.014267,0.09436879441500223,995,0.018428,0.13429188775212894,1596,0.028082,0.18432,2298
531,0.041003,0.06719778406910008,1003,0.031643,0.1052394915244936,1559,0.004308,0.50272,2281
524,0.02167,0.08371250648363103,982,0.00671,0.19156813642141995,1567,0.006766,0.44869,2299
518,0.011439,0.10004136818048001,959,0.000756,0.3205363547882977,1551,0.002709,0.5966,2278
531,0.041003,0.06719778406910008,1002,0.029719,0.10861396516586448,1581,0.014124,0.30552,2258
523,0.019568,0.08629150947747893,996,0.019844,0.1304018254689262,1588,0.019605,0.25758,2290
534,0.052241,0.0609139459038858,977,0.004388,0.21681633205714562,1551,0.002709,0.5966,2268
533,0.048258,0.06295740354060068,1006,0.038133,0.09554993085534054,1573,0.009359,0.39689,2240
535,0.056514,0.0589208016905911,991,0.013703,0.15059400098504225,1547,0.002073,0.64148,2284
534,0.052241,0.0609139459038858,999,0.024403,0.11917618755716608,1565,0.006049,0.45153,2292
534,0.052241,0.0609139459038858,985,0.008669,0.17725848744970762,1574,0.009869,0.35407,2276
527,0.028861,0.07630927785866647,977,0.004388,0.21681633205714562,1570,0.008002,0.40158,2291
530,0.037632,0.06939593476131409,1005,0.03579,0.09870788939133658,1586,0.017872,0.25989,2293
535,0.056514,0.0589208016905911,1014,0.06028,0.0728056174696529,1568,0.007169,0.44727,2280
504,0.001879,0.1464013056895814,1009,0.045482,0.08650170261383684,1578,0.012181,0.34839,2300
513,0.006334,0.11525026582437176,986,0.009392,0.17263202146860682,1584,0.016284,0.26259,2266
514,0.007146,0.11208988336077409,995,0.018428,0.13429188775212894,1528,0.00054,0.79821,2165
511,0.004881,0.12175058188744681,967,0.001722,0.2721863629482276,1567,0.006766,0.44869,2244
508,0.003275,0.1319524201119132,991,0.013703,0.15059400098504225,1593,0.0246,0.21777,2295
529,0.034503,0.07164685292425027,1000,0.026039,0.11558202443498841,1569,0.007588,0.40304,2276
513,0.006334,0.11525026582437176,980,0.005703,0.20146093105263113,1597,0.029314,0.18339,2274
508,0.003275,0.1319524201119132,1011,0.051058,0.08081874884681862,1567,0.006766,0.44869,2269
510,0.004268,0.1250908756684736,1014,0.06028,0.0728056174696529,1571,0.008412,0.40015,2294
518,0.011439,0.10004136818048001,985,0.008669,0.17725848744970762,1599,0.0319,0.15219,2297
535,0.056514,0.0589208016905911,1016,0.067128,0.06779621344538382,1596,0.028082,0.18432,2298
525,0.02388,0.0811894600154765,964,0.001244,0.2899385501920277,1561,0.004774,0.49948,2278
524,0.02167,0.08371250648363103,1014,0.06028,0.0728056174696529,1599,0.0319,0.15219,2286
528,0.031587,0.07395111427328879,976,0.004013,0.22206934473661805,1574,0.009869,0.35407,2276
523,0.019568,0.08629150947747893,990,0.012741,0.1548546539760021,1617,0.064436,0.07357,2299
525,0.02388,0.0811894600154765,974,0.003392,0.2327719264074534,1612,0.053611,0.09518,2284
534,0.052241,0.0609139459038858,979,0.005218,0.20651131130799644,1557,0.00386,0.54722,2284
514,0.007146,0.11208988336077409,995,0.018428,0.13429188775212894,1557,0.00386,0.54722,2259
532,0.044502,0.06505180923841214,1011,0.051058,0.08081874884681862,1614,0.057732,0.07535,2296
525,0.02388,0.0811894600154765,950,0.000294,0.37823128228654707,1541,0.001371,0.68676,2249
535,0.056514,0.0589208016905911,1013,0.05705,0.07540939284217735,1618,0.066798,0.07304,2300
519,0.01275,0.09717605160425771,991,0.013703,0.15059400098504225,1552,0.002885,0.5952,2268
529,0.034503,0.07164685292425027,961,0.000944,0.30815454978779394,1520,0.000294,0.83244,2282
515,0.008088,0.10898906461665049,983,0.007318,0.186727058016664,1519,0.000276,0.83347,2211
525,0.02388,0.0811894600154765,1010,0.048204,0.08362570274381714,1584,0.016284,0.26259,2287
510,0.004268,0.1250908756684736,977,0.004388,0.21681633205714562,1527,0.000498,0.79927,2259
512,0.005586,0.1184704339272214,996,0.019844,0.1304018254689262,1571,0.008412,0.40015,2278
519,0.01275,0.09717605160425771,974,0.003392,0.2327719264074534,1599,0.0319,0.15219,2271
520,0.014267,0.09436879441500223,1001,0.027857,0.11206137253379161,1598,0.030566,0.18239,2270
513,0.006334,0.11525026582437176,989,0.011784,0.1591890450684071,1617,0.064436,0.07357,2299
533,0.048258,0.06295740354060068,996,0.019844,0.1304018254689262,1565,0.006049,0.45153,2297
531,0.041003,0.06719778406910008,1012,0.053995,0.07808020250936908,1548,0.002223,0.63986,2300
535,0.056514,0.0589208016905911,1002,0.029719,0.10861396516586448,1549,0.002376,0.59962,2281
518,0.011439,0.10004136818048001,981,0.006171,0.19647964118820407,1545,0.001831,0.64414,2277
517,0.010187,0.10296509556568055,956,0.000556,0.33943400101766535,1506,9.4e-05,0.90376,2288
510,0.004268,0.1250908756684736,972,0.002811,0.2437300834521658,1559,0.004308,0.50272,2256
518,0.011439,0.10004136818048001,923,7e-06,0.5593802997472992,1520,0.000294,0.83244,2262
515,0.008088,0.10898906461665049,965,0.001382,0.28396770626223383,1541,0.001371,0.68676,2288
532,0.044502,0.06505180923841214,960,0.000843,0.3143227082258305,1563,0.005377,0.49641,2295
498,0.000707,0.16988549582495266,922,4e-06,0.5659923478255869,1580,0.013493,0.30675,2289
517,0.010187,0.10296509556568055,980,0.005703,0.20146093105263113,1582,0.014835,0.30422,2289
511,0.004881,0.12175058188744681,965,0.001382,0.28396770626223383,1582,0.014835,0.30422,2249
518,0.011439,0.10004136818048001,1008,0.042959,0.08944736102149425,1592,0.023531,0.21899,2269
513,0.006334,0.11525026582437176,954,0.000428,0.3522296143951197,1545,0.001831,0.64414,2297
514,0.007146,0.11208988336077409,984,0.007966,0.1819569959217331,1612,0.053611,0.09518,2294
514,0.007146,0.11208988336077409,997,0.02129,0.12658592461451013,1590,0.021501,0.22131,2277
530,0.037632,0.06939593476131409,1012,0.053995,0.07808020250936908,1583,0.015542,0.30283,2290
533,0.048258,0.06295740354060068,982,0.00671,0.19156813642141995,1562,0.005052,0.49791,2274
499,0.000833,0.16582144211067898,1006,0.038133,0.09554993085534054,1577,0.011537,0.34986,2280
518,0.011439,0.10004136818048001,981,0.006171,0.19647964118820407,1554,0.00322,0.55197,2271
526,0.026259,0.07872188529824783,957,0.000615,0.3330936531441198,1573,0.009359,0.39689,2290
527,0.028861,0.07630927785866647,1007,0.040545,0.09246325633583473,1591,0.022435,0.22018,2298
533,0.048258,0.06295740354060068,982,0.00671,0.19156813642141995,1536,0.000971,0.72714,2233
531,0.041003,0.06719778406910008,1008,0.042959,0.08944736102149425,1580,0.013493,0.30675,2277
534,0.052241,0.0609139459038858,973,0.003098,0.23821956795561378,1609,0.04783,0.09745,2245
512,0.005586,0.1184704339272214,973,0.003098,0.23821956795561378,1539,0.00118,0.68915,2266
521,0.015881,0.09161922121937276,974,0.003392,0.2327719264074534,1550,0.002533,0.59829,2295
525,0.02388,0.0811894600154765,1009,0.045482,0.08650170261383684,1600,0.033204,0.15109,2277
519,0.01275,0.09717605160425771,968,0.00189,0.266378594648863,1569,0.007588,0.40304,2276
510,0.004268,0.1250908756684736,981,0.006171,0.19647964118820407,1618,0.066798,0.07304,2300
533,0.048258,0.06295740354060068,1006,0.038133,0.09554993085534054,1551,0.002709,0.5966,2263
525,0.02388,0.0811894600154765,988,0.010923,0.16359693617424872,1554,0.00322,0.55197,2276
520,0.014267,0.09436879441500223,1001,0.027857,0.11206137253379161,1573,0.009359,0.39689,2275
527,0.028861,0.07630927785866647,988,0.010923,0.16359693617424872,1609,0.04783,0.09745,2296
493,0.000287,0.19109266493958718,956,0.000556,0.33943400101766535,1536,0.000971,0.72714,2288
508,0.003275,0.1319524201119132,983,0.007318,0.186727058016664,1577,0.011537,0.34986,2289
529,0.034503,0.07164685292425027,985,0.008669,0.17725848744970762,1559,0.004308,0.50272,2283
516,0.009099,0.10594756054488935,981,0.006171,0.19647964118820407,1557,0.00386,0.54722,2298
499,0.000833,0.16582144211067898,969,0.002092,0.2606278450050883,1509,0.000124,0.88475,2281
490,0.000152,0.20451362154857902,961,0.000944,0.30815454978779394,1616,0.062132,0.07412,2293
531,0.041003,0.06719778406910008,986,0.009392,0.17263202146860682,1523,0.000381,0.82997,2240
532,0.044502,0.06505180923841214,974,0.003392,0.2327719264074534,1544,0.00172,0.64544,2261
533,0.048258,0.06295740354060068,1005,0.03579,0.09870788939133658,1553,0.003059,0.59378,2235
523,0.019568,0.08629150947747893,988,0.010923,0.16359693617424872,1545,0.001831,0.64414,2292
518,0.011439,0.10004136818048001,976,0.004013,0.22206934473661805,1558,0.004082,0.54556,2255
531,0.041003,0.06719778406910008,1015,0.063715,0.0702681444955853,1593,0.0246,0.21777,2290
511,0.004881,0.12175058188744681,973,0.003098,0.23821956795561378,1604,0.039127,0.12314,2285
534,0.052241,0.0609139459038858,991,0.013703,0.15059400098504225,1568,0.007169,0.44727,2285
518,0.011439,0.10004136818048001,977,0.004388,0.21681633205714562,1530,0.000623,0.76669,2297
485,4.7e-05,0.22800182754911544,957,0.000615,0.3330936531441198,1522,0.000347,0.8308,2259
527,0.028861,0.07630927785866647,992,0.014832,0.14640728029505454,1584,0.016284,0.26259,2267
535,0.056514,0.0589208016905911,1004,0.033659,0.10193759807570915,1593,0.0246,0.21777,2295
524,0.02167,0.08371250648363103,991,0.013703,0.15059400098504225,1616,0.062132,0.07412,2278
522,0.017592,0.08892693333344363,1001,0.027857,0.11206137253379161,1587,0.01874,0.25879,2284
523,0.019568,0.08629150947747893,1002,0.029719,0.10861396516586448,1590,0.021501,0.22131,2287
522,0.017592,0.08892693333344363,978,0.004839,0.21163004105402708,1567,0.006766,0.44869,2289
494,0.000337,0.18673405706935078,938,7.2e-05,0.45845306034348055,1554,0.00322,0.55197,2271
531,0.041003,0.06719778406910008,999,0.024403,0.11917618755716608,1580,0.013493,0.30675,2262
526,0.026259,0.07872188529824783,984,0.007966,0.1819569959217331,1578,0.012181,0.34839,2250
509,0.00377,0.1284914524482879,995,0.018428,0.13429188775212894,1593,0.0246,0.21777,2265
523,0.019568,0.08629150947747893,973,0.003098,0.23821956795561378,1557,0.00386,0.54722,2299
523,0.019568,0.08629150947747893,1009,0.045482,0.08650170261383684,1604,0.039127,0.12314,2296
534,0.052241,0.0609139459038858,998,0.02282,0.12284409201506367,1547,0.002073,0.64148,2249
531,0.041003,0.06719778406910008,1014,0.06028,0.0728056174696529,1598,0.030566,0.18239,2300
528,0.031587,0.07395111427328879,991,0.013703,0.15059400098504225,1592,0.023531,0.21899,2284
533,0.048258,0.06295740354060068,994,0.017146,0.1382561561189221,1589,0.020539,0.22261,2286
522,0.017592,0.08892693333344363,1013,0.05705,0.07540939284217735,1551,0.002709,0.5966,2285
524,0.02167,0.08371250648363103,1009,0.045482,0.08650170261383684,1577,0.011537,0.34986,2279
507,0.002863,0.13547385676804075,949,0.000264,0.3848066872939196,1526,0.00046,0.80044,2253
524,0.02167,0.08371250648363103,947,0.000198,0.3980345242726012,1514,0.000187,0.86075,2191
526,0.026259,0.07872188529824783,949,0.000264,0.3848066872939196,1522,0.000347,0.8308,2289
517,0.010187,0.10296509556568055,1008,0.042959,0.08944736102149425,1543,0.001585,0.68419,2275
529,0.034503,0.07164685292425027,985,0.008669,0.17725848744970762,1549,0.002376,0.59962,2281
526,0.026259,0.07872188529824783,1000,0.026039,0.11558202443498841,1562,0.005052,0.49791,2274
526,0.026259,0.07872188529824783,1005,0.03579,0.09870788939133658,1589,0.020539,0.22261,2261
512,0.005586,0.1184704339272214,994,0.017146,0.1382561561189221,1595,0.026909,0.18542,2297
526,0.026259,0.07872188529824783,990,0.012741,0.1548546539760021,1592,0.023531,0.21899,2259
534,0.052241,0.0609139459038858,983,0.007318,0.186727058016664,1574,0.009869,0.35407,2259
506,0.002501,0.13905581029067357,1011,0.051058,0.08081874884681862,1592,0.023531,0.21899,2264
497,0.000587,0.17400907450419242,972,0.002811,0.2437300834521658,1550,0.002533,0.59829,2277
524,0.02167,0.08371250648363103,980,0.005703,0.20146093105263113,1497,4.3e-05,0.93696,2269
508,0.003275,0.1319524201119132,948,0.000231,0.3914083937021998,1542,0.001472,0.68557,2279
523,0.019568,0.08629150947747893,1006,0.038133,0.09554993085534054,1555,0.00341,0.55038,2227
494,0.000337,0.18673405706935078,1006,0.038133,0.09554993085534054,1605,0.040808,0.12226,2277
535,0.056514,0.0589208016905911,997,0.02129,0.12658592461451013,1578,0.012181,0.34839,2255
